District Name,School Name,Lat,Long,Charter Count,Other Count,Charter Total,Other Total
HILLSBOROUGH,CHANNELSIDE ACADEMY MIDDLE SCHOOL,27.95195,-82.44974,0,627,138,5089
HILLSBOROUGH,CREEKSIDE CHARTER ACADEMY,27.77512,-82.33365,62,248,617,1470
HILLSBOROUGH,EXCELSIOR PREP CHARTER SCHOOL,28.05616,-82.43558,0,216,109,1131
HILLSBOROUGH,FLORIDA AUTISM CHARTER SCHOOL OF EXCELLENCE,28.01213,-82.38184,132,398,132,4393
HILLSBOROUGH,FLORIDA CONNECTIONS ACADEMY,28.00302,-82.35748,109,135,1433,872
HILLSBOROUGH,FOCUS ACADEMY,28.04435,-82.38885,108,390,108,2344
HILLSBOROUGH,HENDERSON HAMMOCK CHARTER SCHOOL,28.04356,-82.55101,86,455,1147,2847
HILLSBOROUGH,HILLSBOROUGH ACADEMY OF MATH AND SCIENCE,28.03020,-82.59672,54,900,801,6365
HILLSBOROUGH,HORIZON CHARTER SCHOOL OF TAMPA,27.99838,-82.56174,17,506,303,3533
HILLSBOROUGH,INDEPENDENCE ACADEMY,28.01607,-82.24438,67,1603,937,9158
HILLSBOROUGH,KIDS COMMUNITY COLLEGE CHARTER HIGH SCHOOL,27.88137,-82.32875,21,134,165,550
HILLSBOROUGH,KIDS COMMUNITY COLLEGE CHARTER SCHOOL SOUTHEAST HILLSBOROUGH COUNTY,27.86454,-82.30562,32,279,353,2576
HILLSBOROUGH,KIDS COMMUNITY COLLEGE RIVERVIEW SOUTH,27.85653,-82.33305,50,126,565,593
HILLSBOROUGH,KIDS COMMUNITY COLLEGE SOUTHEAST MIDDLE CHARTER SCHOOL,27.83031,-82.30267,21,276,193,1746
HILLSBOROUGH,LEARNING GATE COMMUNITY SCHOOL,28.10430,-82.44931,86,770,794,5567
HILLSBOROUGH,LEGACY PREPARATORY ACADEMY,28.04031,-82.45759,12,793,261,3977
HILLSBOROUGH,LITERACY/LEADERSHIP/TECHNOLOGY ACADEMY,27.89989,-82.37776,60,702,632,4107
HILLSBOROUGH,LUTZ PREPARATORY SCHOOL,28.13265,-82.46232,76,347,783,2037
HILLSBOROUGH,NEW SPRINGS SCHOOLS,28.03324,-82.43188,26,415,461,2434
HILLSBOROUGH,PEPIN ACADEMIES,27.99671,-82.41524,789,1025,789,6589
HILLSBOROUGH,PIVOT CHARTER SCHOOL,27.91904,-82.33712,33,1011,259,6596
HILLSBOROUGH,PLATO ACADEMY TAMPA CHARTER SCHOOL,28.08090,-82.50010,0,745,118,4549
HILLSBOROUGH,RCMA LEADERSHIP ACADEMY,27.66282,-82.36374,0,11,112,30
HILLSBOROUGH,SEMINOLE HEIGHTS CHARTER HIGH SCHOOL,27.98190,-82.45965,47,358,254,2764
HILLSBOROUGH,SOUTHSHORE CHARTER ACADEMY,27.79479,-82.30263,102,525,1160,3312
HILLSBOROUGH,SPORTS LEADERSHIP AND MANAGEMENT ACADEMY (TAMPA),28.06835,-82.57124,72,98,532,657
HILLSBOROUGH,SUNLAKE ACADEMY OF MATH AND SCIENCES,28.14343,-82.49466,78,421,877,5219
HILLSBOROUGH,TERRACE COMMUNITY MIDDLE SCHOOL,28.05515,-82.34406,23,340,660,1756
HILLSBOROUGH,THE COLLABORATORY PREPARATORY ACADEMY,27.98518,-82.38375,18,178,89,1081
HILLSBOROUGH,TRINITY SCHOOL FOR CHILDREN,27.98775,-82.48315,60,1020,855,6341
HILLSBOROUGH,VALRICO LAKE ADVANTAGE ACADEMY,27.85415,-82.27130,71,2625,956,19893
HILLSBOROUGH,VILLAGE OF EXCELLENCE ACADEMY,28.03047,-82.41036,34,92,247,500
HILLSBOROUGH,WALTON ACADEMY,27.98951,-82.45911,0,650,212,4179
HILLSBOROUGH,WATERSET CHARTER SCHOOL,27.77657,-82.38588,80,2019,966,12868
