District,School,School Name,prop,funds
06,0341,MARY M BETHUNE ELEMENTARY SCHOOL,0.1258426966292135,11890
06,0343,ATTUCKS MIDDLE SCHOOL,0.15632754342431762,9121
06,0361,BLANCHE ELY HIGH SCHOOL,0.09823182711198428,8131
06,0371,DILLARD  6-12,0.11514614703277236,8689
06,0391,DEERFIELD PARK ELEMENTARY SCHOOL,0.10935023771790808,9075
06,0403,HALLANDALE HIGH SCHOOL,0.12246553122465531,8439
06,0405,LANIER-JAMES EDUCATION CENTER,0.16091954022988506
06,0452,WHIDDON RODGERS EDUCATION CENTER,0.16034985422740525,8607
06,0461,OAKRIDGE ELEMENTARY SCHOOL,0.2589118198874296,11556
06,0471,OLSEN MIDDLE SCHOOL,0.17593984962406015,10350
06,0481,MCNICOL MIDDLE SCHOOL,0.15074024226110364,9734
06,0491,HARBORDALE ELEMENTARY SCHOOL,0.14228456913827656,9558
06,0501,BROWARD ESTATES ELEMENTARY SCHOOL,0.09207161125319693,9864
06,0511,WATKINS ELEMENTARY SCHOOL,0.17962962962962964,10344
06,0521,NORTH ANDREWS GARDENS ELEMENTARY SCHOOL,0.13048498845265588,8090
06,0531,MIRAMAR ELEMENTARY SCHOOL,0.15806451612903225,7869
06,0551,PLANTATION MIDDLE SCHOOL,0.1326676176890157,9138
06,0561,NORCREST ELEMENTARY SCHOOL,0.23741935483870968,9268
06,0571,TEDDER ELEMENTARY SCHOOL,0.13513513513513514,10010
06,0581,MARGATE MIDDLE SCHOOL,0.16515276630883569,7738
06,0601,SEAGULL SCHOOL,0.13839285714285715,14309
06,0611,SUNLAND PARK ACADEMY,0.14087759815242495,9653
06,0621,LARKDALE ELEMENTARY SCHOOL,0.16745283018867924,11093
06,0631,WESTWOOD HEIGHTS ELEMENTARY SCHOOL,0.17582417582417584,9454
06,0641,BAYVIEW ELEMENTARY SCHOOL,0.10880829015544041,8189
06,0691,STIRLING ELEMENTARY SCHOOL,0.17298187808896212,10338
06,0701,PARKWAY MIDDLE SCHOOL,0.11223118279569892,7685
06,0711,ORANGE BROOK ELEMENTARY SCHOOL,0.10586552217453506,8987
06,0721,DRIFTWOOD ELEMENTARY SCHOOL,0.2586750788643533,10123
06,0731,TROPICAL ELEMENTARY SCHOOL,0.21414342629482072,8565
06,0751,POMPANO BEACH ELEMENTARY SCHOOL,0.2003968253968254,11630
06,0761,MEADOWBROOK ELEMENTARY SCHOOL,0.2387005649717514,10291
06,0811,BROADVIEW ELEMENTARY SCHOOL,0.15099009900990099,8396
06,0831,LAKE FOREST ELEMENTARY SCHOOL,0.20081967213114754,9895
06,0841,MCNAB ELEMENTARY SCHOOL,0.12680577849117175,8863
06,0851,FLORANADA ELEMENTARY SCHOOL,0.18375499334221038,9321
06,0861,DRIFTWOOD MIDDLE SCHOOL,0.18497109826589594,7716
06,0881,NEW RIVER MIDDLE SCHOOL,0.142049025769956,7522
06,0891,SANDERS PARK ELEMENTARY SCHOOL,0.1360153256704981,11824
06,0901,CRESTHAVEN ELEMENTARY SCHOOL,0.195578231292517,9354
06,0911,DEERFIELD BEACH MIDDLE SCHOOL,0.17261904761904762,9065
06,0921,STEPHEN FOSTER ELEMENTARY SCHOOL,0.2237037037037037,8906
06,0931,PETERS ELEMENTARY SCHOOL,0.21655172413793103,9691
06,0941,PLANTATION ELEMENTARY SCHOOL,0.15479876160990713,10111
06,0951,FORT LAUDERDALE HIGH SCHOOL,0.09423347398030943,8147
06,0971,BOULEVARD HEIGHTS ELEMENTARY,0.20833333333333334,9775
06,1051,SHERIDAN TECHNICAL COLLEGE,0.10582010582010581,6822
06,1071,WILLIAM DANDY MIDDLE SCHOOL,0.12926577042399173,8602
06,1091,LLOYD ESTATES ELEMENTARY SCHOOL,0.2074074074074074,10331
06,1131,PALMVIEW ELEMENTARY SCHOOL,0.11183144246353323,9369
06,1151,CORAL SPRINGS HIGH SCHOOL,0.12095339736748488,6832
06,1161,MARGATE ELEMENTARY SCHOOL,0.19257086999022482,8179
06,1171,SUNSHINE ELEMENTARY SCHOOL,0.13344594594594594,8476
06,1191,NORTH FORK ELEMENTARY SCHOOL,0.10022779043280182,10004
06,1211,COOPER CITY ELEMENTARY SCHOOL,0.1395973154362416,8017
06,1221,PEMBROKE PINES ELEMENTARY SCHOOL,0.16271186440677965,9782
06,1241,NORTHEAST HIGH SCHOOL,0.13456937799043062,8081
06,1251,PLANTATION PARK ELEMENTARY,0.20702402957486138,9474
06,1271,NOVA DWIGHT D. EISENHOWER ELEM,0.08062418725617686,7710
06,1281,NOVA HIGH SCHOOL,0.08280828082808281,7529
06,1282,NOVA BLANCHE FORMAN ELEMENTARY,0.1484375,8452
06,1291,MCFATTER TECHNICAL COLLEGE,0.09256198347107437,6376
06,1311,NOVA MIDDLE SCHOOL,0.11996904024767802,7641
06,1321,SHERIDAN PARK ELEMENTARY SCHOOL,0.18641618497109827,9166
06,1381,LAUDERHILL PAUL TURNER ELEMENTARY SCHOOL,0.2168141592920354,10413
06,1391,LAUDERHILL 6-12,0.14351851851851852,8659
06,1421,COCONUT CREEK ELEMENTARY SCHOOL,0.1752738654147105,10045
06,1451,PLANTATION HIGH SCHOOL,0.1111111111111111,6741
06,1461,CASTLE HILL ELEMENTARY SCHOOL,0.14724919093851133,9188
06,1611,"DR. MARTIN LUTHER KING, JR. MONTESSORI ACADEMY",0.16500994035785288,11686
06,1621,VILLAGE ELEMENTARY SCHOOL,0.0953058321479374,9898
06,1631,ANNABEL C. PERRY PK-8,0.19918144611186903,9403
06,1641,FAIRWAY ELEMENTARY SCHOOL,0.2013986013986014,9961
06,1661,HOLLYWOOD HILLS HIGH SCHOOL,0.13232217573221758,7306
06,1671,ROBERT C. MARKHAM ELEMENTARY,0.09181969949916527,10745
06,1681,COCONUT CREEK HIGH SCHOOL,0.14698162729658792,8013
06,1701,LAUDERDALE LAKES MIDDLE SCHOOL,0.15011547344110854,8172
06,1711,DEERFIELD BEACH HIGH SCHOOL,0.12218122181221812,7225
06,1741,BOYD H. ANDERSON HIGH SCHOOL,0.12908878504672897,7449
06,1751,MIRAMAR HIGH SCHOOL,0.11055900621118013,6899
06,1761,HOLLYWOOD PARK ELEMENTARY SCHOOL,0.3102766798418972,10315
06,1781,CYPRESS ELEMENTARY SCHOOL,0.18635170603674542,8823
06,1791,APOLLO MIDDLE SCHOOL,0.1522516082916369,8014
06,1811,SHERIDAN HILLS ELEMENTARY SCHOOL,0.216796875,9703
06,1831,ORIOLE ELEMENTARY SCHOOL,0.15384615384615385,9476
06,1841,MIRROR LAKE ELEMENTARY SCHOOL,0.336283185840708,10834
06,1851,ROYAL PALM ELEMENTARY SCHOOL,0.1367419738406659,8461
06,1871,CRYSTAL LAKE MIDDLE SCHOOL,0.11040339702760085,7623
06,1881,PINES MIDDLE SCHOOL,0.15602836879432624,8411
06,1891,SEMINOLE MIDDLE SCHOOL,0.18627450980392157,8206
06,1901,PIPER HIGH SCHOOL,0.1157196184155952,7234
06,1931,COOPER CITY HIGH SCHOOL,0.12088850918410936,7154
06,1951,PARK RIDGE ELEMENTARY SCHOOL,0.16552901023890784,10258
06,1971,JAMES S. HUNT ELEMENTARY SCHOOL,0.18181818181818182,9512
06,2001,BANYAN ELEMENTARY SCHOOL,0.19281045751633988,8585
06,2011,CORAL COVE ELEMENTARY SCHOOL,0.15568862275449102,8880
06,2021,GLADES MIDDLE SCHOOL,0.14152298850574713,7450
06,2041,BEACHSIDE MONTESSORI VILLAGE,0.12325285895806862,8771
06,2052,WESTPINE MIDDLE SCHOOL,0.1435546875,8211
06,2071,PASADENA LAKES ELEMENTARY SCHOOL,0.26846846846846845,11230
06,2121,JAMES S. RICKARDS MIDDLE SCHOOL,0.17454954954954954,9239
06,2221,ATLANTIC TECHNICAL COLLEGE,0.13798219584569732,6337
06,2231,NORTH LAUDERDALE PK-8,0.12993630573248408
06,2351,SOUTH PLANTATION HIGH SCHOOL,0.13262599469496023,7357
06,2511,ATLANTIC WEST ELEMENTARY SCHOOL,0.24617524339360222,10260
06,2531,HORIZON ELEMENTARY SCHOOL,0.25675675675675674,10541
06,2541,FLAMINGO ELEMENTARY SCHOOL,0.17313432835820897,8204
06,2551,CORAL SPRINGS PK-8,0.2453102453102453,8786
06,2561,CORAL SPRINGS MIDDLE SCHOOL,0.15324675324675324,7511
06,2571,PIONEER MIDDLE SCHOOL,0.142570281124498,7113
06,2611,BAIR MIDDLE SCHOOL,0.16186252771618626,8459
06,2621,TAMARAC ELEMENTARY SCHOOL,0.21389645776566757,7761
06,2631,FOREST HILLS ELEMENTARY SCHOOL,0.1994459833795014,8631
06,2641,CENTRAL PARK ELEMENTARY SCHOOL,0.10538373424971363,7702
06,2661,PEMBROKE LAKES ELEMENTARY SCHOOL,0.18497913769123783,8347
06,2671,NOB HILL ELEMENTARY SCHOOL,0.2059748427672956,8651
06,2681,WESTCHESTER ELEMENTARY SCHOOL,0.0752405949256343,6849
06,2691,MORROW ELEMENTARY SCHOOL,0.20754716981132076,9993
06,2711,RAMBLEWOOD MIDDLE SCHOOL,0.162227602905569,7607
06,2721,RAMBLEWOOD ELEMENTARY SCHOOL,0.20410490307867732,8483
06,2741,MAPLEWOOD ELEMENTARY SCHOOL,0.24833110814419226,8865
06,2751,J. P. TARAVELLA HIGH SCHOOL,0.1145799806887673,6615
06,2801,DAVIE ELEMENTARY SCHOOL,0.16644295302013423,8029
06,2811,PINEWOOD ELEMENTARY SCHOOL,0.20812182741116753,10950
06,2831,WESTERN HIGH SCHOOL,0.11908983451536644,6985
06,2851,GRIFFIN ELEMENTARY SCHOOL,0.3349358974358974,10223
