District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
HILLSBOROUGH,LENNARD HIGH SCHOOL,27.72305,-82.40543,3113,400,26,25,36,23,604,445,469,394
HILLSBOROUGH,LETO HIGH SCHOOL,28.01212,-82.51916,2159,270,16,17,35,11,438,265,341,263
HILLSBOROUGH,LIBERTY MIDDLE SCHOOL,28.13355,-82.38286,1156,146,32,20,45,12,616,271,667,205
HILLSBOROUGH,MADISON MIDDLE SCHOOL,27.90557,-82.52107,583,101,12,6,12,2,227,105,248,56
HILLSBOROUGH,MANN MIDDLE SCHOOL,27.95052,-82.28070,957,145,25,21,31,2,354,176,349,76
HILLSBOROUGH,MARSHALL MIDDLE SCHOOL,28.01654,-82.10768,884,153,22,10,31,11,257,128,332,74
HILLSBOROUGH,MARTINEZ MIDDLE SCHOOL,28.16150,-82.53294,1194,82,38,13,39,18,951,368,1015,333
HILLSBOROUGH,MCLANE MIDDLE SCHOOL,27.94292,-82.29062,645,107,10,8,10,2,154,94,156,56
HILLSBOROUGH,MEMORIAL MIDDLE SCHOOL,27.98830,-82.45716,634,106,10,8,10,1,182,82,205,48
HILLSBOROUGH,MIDDLETON HIGH SCHOOL,27.99060,-82.43191,1595,214,24,11,16,17,455,206,174,248
HILLSBOROUGH,MONROE MIDDLE SCHOOL,27.87572,-82.52353,429,88,8,6,16,2,152,63,179,60
HILLSBOROUGH,MULRENNAN MIDDLE SCHOOL,27.90663,-82.22951,1338,174,31,31,37,6,803,360,880,221
HILLSBOROUGH,NEWSOME HIGH SCHOOL,27.85495,-82.20616,3036,298,65,39,66,54,1185,645,702,682
HILLSBOROUGH,ORANGE GROVE MIDDLE MAGNET SCHOOL,27.97524,-82.44036,552,54,6,5,9,2,284,93,259,75
HILLSBOROUGH,PIERCE MIDDLE SCHOOL,27.99818,-82.51835,942,180,42,27,43,10,314,145,390,95
HILLSBOROUGH,PLANT CITY HIGH SCHOOL,27.99004,-82.12746,2322,387,29,33,51,29,494,375,412,283
HILLSBOROUGH,PLANT HIGH SCHOOL,27.92365,-82.50288,2503,193,31,30,36,23,970,515,519,526
HILLSBOROUGH,PROGRESS VILLAGE MIDDLE MAGNET SCHOOL,27.89211,-82.36638,938,114,21,14,26,7,545,254,551,170
HILLSBOROUGH,RAMPELLO K-8 MAGNET SCHOOL,27.94838,-82.45251,777,82,17,4,21,6,394,92,429,104
HILLSBOROUGH,RANDALL MIDDLE SCHOOL,27.85798,-82.20735,1422,146,48,31,74,18,1140,441,1222,351
HILLSBOROUGH,RIVERVIEW HIGH SCHOOL,27.84984,-82.31230,2576,279,14,22,34,9,668,446,469,354
HILLSBOROUGH,ROBINSON HIGH SCHOOL,27.87456,-82.51570,1569,176,20,19,19,24,489,267,177,277
HILLSBOROUGH,RODGERS MIDDLE SCHOOL,27.84489,-82.29660,749,114,10,11,17,4,293,143,359,100
HILLSBOROUGH,SERGEANT PAUL R SMITH MIDDLE SCHOOL,28.07624,-82.57348,753,118,20,24,28,6,382,176,397,131
HILLSBOROUGH,SHIELDS MIDDLE SCHOOL,27.74008,-82.37209,1579,241,42,21,42,10,501,257,552,182
HILLSBOROUGH,SICKLES HIGH SCHOOL,28.07925,-82.58273,2379,223,36,37,31,17,797,486,472,424
HILLSBOROUGH,SLIGH MIDDLE SCHOOL,28.00957,-82.43679,576,94,13,6,11,5,158,76,151,47
HILLSBOROUGH,SPOTO HIGH SCHOOL,27.88448,-82.35219,1679,284,21,16,22,11,206,198,170,140
HILLSBOROUGH,STEINBRENNER HIGH SCHOOL,28.15804,-82.53318,2474,186,25,23,22,14,967,542,490,489
HILLSBOROUGH,STEWART MIDDLE MAGNET SCHOOL,27.96010,-82.47242,1026,91,21,11,20,6,592,233,587,181
HILLSBOROUGH,STRAWBERRY CREST HIGH SCHOOL,28.02227,-82.23595,2268,224,16,11,22,1,679,372,404,327
HILLSBOROUGH,SULPHUR SPRINGS K-8 SCHOOL,28.02702,-82.44654,874,114,5,0,2,1,68,28,68,23
HILLSBOROUGH,TAMPA BAY TECH HIGH SCHOOL,28.00740,-82.37546,2051,85,7,18,12,8,677,393,380,430
HILLSBOROUGH,TOMLIN MIDDLE SCHOOL,28.01800,-82.14723,1672,218,23,25,39,8,683,360,879,179
HILLSBOROUGH,TURKEY CREEK MIDDLE SCHOOL,27.94433,-82.17168,994,210,35,36,58,12,313,193,414,96
HILLSBOROUGH,TURNER-BARTELS K-8 SCHOOL,28.16719,-82.34779,1836,218,36,9,29,9,716,160,709,232
HILLSBOROUGH,WALKER MIDDLE MAGNET SCHOOL,28.11297,-82.57635,965,81,33,18,41,12,754,275,802,230
HILLSBOROUGH,WEBB MIDDLE SCHOOL,28.00258,-82.56201,731,103,15,9,24,5,318,162,365,99
HILLSBOROUGH,WHARTON HIGH SCHOOL,28.15926,-82.35538,2429,276,25,23,23,21,536,390,279,321
HILLSBOROUGH,WILSON MIDDLE SCHOOL,27.93808,-82.46984,667,55,18,11,20,4,510,212,544,160
HILLSBOROUGH,YOUNG MIDDLE MAGNET SCHOOL,27.97999,-82.43894,664,91,12,10,16,1,228,79,196,49
HOLMES,BONIFAY K-8 SCHOOL,30.78895,-85.69538,1279,211,27,9,28,9,427,89,431,142
HOLMES,HOLMES COUNTY HIGH SCHOOL,30.78611,-85.69575,474,57,5,5,4,4,127,58,42,64
INDIAN RIVER,GIFFORD MIDDLE SCHOOL,27.67664,-80.41302,675,122,24,10,30,10,323,125,330,105
INDIAN RIVER,OSLO MIDDLE SCHOOL,27.59591,-80.40301,897,146,19,11,22,7,366,175,400,125
INDIAN RIVER,SEBASTIAN RIVER HIGH SCHOOL,27.75603,-80.51122,1922,272,22,24,17,19,416,152,274,261
INDIAN RIVER,SEBASTIAN RIVER MIDDLE SCHOOL,27.76685,-80.52208,934,115,17,14,29,9,435,221,544,141
INDIAN RIVER,STORM GROVE MIDDLE SCHOOL,27.69892,-80.45631,1043,164,41,20,37,14,532,234,538,156
INDIAN RIVER,VERO BEACH HIGH SCHOOL,27.62892,-80.40354,2926,347,36,18,44,29,735,432,499,398
JACKSON,COTTONDALE HIGH SCHOOL,30.79338,-85.37394,481,48,8,6,5,0,199,85,156,58
JACKSON,GRAND RIDGE SCHOOL,30.70650,-85.01738,455,58,25,4,26,12,286,78,307,107
JACKSON,MARIANNA HIGH SCHOOL,30.81233,-85.20091,756,81,10,14,6,9,210,99,135,136
JACKSON,MARIANNA MIDDLE SCHOOL,30.76703,-85.25229,604,70,18,17,12,0,314,165,260,56
LAFAYETTE,LAFAYETTE HIGH SCHOOL,30.05402,-83.16785,626,99,15,9,24,5,238,112,210,105
LAKE,CARVER MIDDLE SCHOOL,28.82729,-81.89477,829,151,21,19,19,12,343,170,348,110
LAKE,CLERMONT MIDDLE SCHOOL,28.55853,-81.75589,583,86,17,15,18,7,255,119,258,108
LAKE,EAST RIDGE HIGH SCHOOL,28.53922,-81.71486,2502,306,30,19,35,37,680,425,512,424
LAKE,EAST RIDGE MIDDLE SCHOOL,28.53864,-81.71958,1144,162,47,33,58,16,686,320,730,233
LAKE,EUSTIS HIGH SCHOOL,28.84614,-81.67242,1373,206,28,24,21,13,318,191,191,148
LAKE,EUSTIS MIDDLE SCHOOL,28.85952,-81.64489,959,173,31,26,38,9,401,204,446,118
LAKE,GRAY MIDDLE SCHOOL,28.55751,-81.85566,985,171,34,21,47,11,466,246,561,179
LAKE,LAKE MINNEOLA HIGH SCHOOL,28.58093,-81.72329,1728,275,32,26,24,23,471,309,330,309
LAKE,LEESBURG HIGH SCHOOL,28.80696,-81.89241,1506,226,18,12,15,16,240,156,201,224
LAKE,MT. DORA HIGH SCHOOL,28.80213,-81.63647,1121,133,14,12,22,11,267,175,190,174
LAKE,MT. DORA MIDDLE SCHOOL,28.80878,-81.63148,851,122,18,15,29,8,408,154,465,130
LAKE,OAK PARK MIDDLE SCHOOL,28.80302,-81.89677,525,114,11,17,12,1,160,104,145,45
LAKE,SOUTH LAKE HIGH SCHOOL,28.57415,-81.81713,2055,261,23,12,18,22,456,294,339,302
LAKE,TAVARES HIGH SCHOOL,28.80722,-81.72825,1423,170,20,13,22,17,309,199,250,225
LAKE,TAVARES MIDDLE SCHOOL,28.77042,-81.74112,1104,169,31,27,43,5,505,276,623,141
LAKE,UMATILLA HIGH SCHOOL,28.93087,-81.66501,794,121,9,8,9,6,152,98,96,78
LAKE,UMATILLA MIDDLE SCHOOL,28.92794,-81.66085,605,131,26,10,34,8,256,146,357,71
